iata,name,state,country,latitude,longitude,lineage
Z01844,Origin-Methuen-MA,MA,USA,42.7301,-71.1793,0
Z01845,Origin-North Andover-MA,MA,USA,42.6839,-71.1116,0
Z01852,Origin-Lowell-MA,MA,USA,42.6342,-71.2984,0
Z01876,Origin-Tewksbury-MA,MA,USA,42.6017,-71.2207,0
Z01880,Origin-Wakefield-MA,MA,USA,42.5014,-71.0712,0
Z01887,Origin-Wilmington-MA,MA,USA,42.5586,-71.1703,0
Z01890,Origin-Winchester-MA,MA,USA,42.452,-71.1427,0
Z01901,Origin-Lynn-MA,MA,USA,42.4613,-70.9467,0
Z01902,Origin-Lynn-MA,MA,USA,42.47,-70.941,0
Z01903,Origin-Lynn-MA,MA,USA,42.6355,-70.8791,0
Z01905,Origin-Lynn-MA,MA,USA,42.4649,-70.974,0
Z01930,Origin-Gloucester-MA,MA,USA,42.6241,-70.6755,0
Z01960,Destination-Peabody-MA,MA,USA,42.5341,-70.9614,1
Z01961,Origin-Peabody-MA,MA,USA,42.63554,-70.87912,0
Z01970,Origin-Salem-MA,MA,USA,42.5169,-70.8985,0
Z02021,Origin-Canton-MA,MA,USA,42.1669,-71.1343,0
Z02035,Origin-Foxboro-MA,MA,USA,42.0615,-71.2423,0
Z02048,Origin-Mansfield-MA,MA,USA,42.02,-71.2191,0
Z02062,Origin-Norwood-MA,MA,USA,42.186,-71.2016,0
Z02067,Origin-Sharon-MA,MA,USA,42.1138,-71.1792,0
Z02072,Origin-Stoughton-MA,MA,USA,42.1255,-71.1063,0
Z02090,Origin-Westwood-MA,MA,USA,42.213,-71.2073,0
